PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,North Philadelphia East,,,,,,,,,
Location:,"Lat, Lon: 40.01, -75.14",,,,,,,,,
Lat (deg N):,40.01,,,,,,,,,
Long (deg W):,75.14,,,,,,,,,
Elev (m):,44.72000122,,,,,,,,,
DC System Size (kW):,4,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (roof mount),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.129,,,,,,,,,
Capacity Factor (%),"15.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
4,4,2,0,0,0,1,0,0,0,0
4,4,3,0,0,0,1,0,0,0,0
4,4,4,0,0,0,1,0,0,0,0
4,4,5,0,0,0,1,0,0,0,0
4,4,6,456,45,2,2,113.251,3.068,321.373,294.705
4,4,7,754,68,4,3,364.954,12.622,1210.685,1161.692
4,4,8,858,88,5,3,613.554,21.431,2092.818,2014.415
4,4,9,917,101,7,3,823.093,29.879,2747.895,2642.973
4,4,10,938,114,8,3,971.85,35.448,3172.371,3048.135
4,4,11,961,113,9,3,1056.019,39.057,3388.79,3254.062
4,4,12,964,111,10,3,1060.239,40.381,3379.769,3245.487
4,4,13,950,107,11,3,985.193,39.417,3153.453,3030.114
4,4,14,905,105,11,2,833.441,38.438,2670.406,2568.828
4,4,15,837,96,10,2,628.343,30.945,2056.827,1979.766
4,4,16,714,81,9,1,382.057,24.662,1219.377,1170.129
4,4,17,437,56,6,1,134.149,11.09,389.528,361.41
4,4,18,0,0,4,1,0,4,0,0
4,4,19,0,0,3,1,0,3,0,0
4,4,20,0,0,2,1,0,2,0,0
4,4,21,0,0,2,1,0,2,0,0
4,4,22,0,0,1,1,0,1,0,0
4,4,23,0,0,1,2,0,1,0,0
4,5,0,0,0,0,1,0,0,0,0
4,5,1,0,0,0,1,0,0,0,0
4,5,2,0,0,0,1,0,0,0,0
4,5,3,0,0,0,1,0,0,0,0
4,5,4,0,0,-1,0,0,-1,0,0
4,5,5,0,0,-1,0,0,-1,0,0
4,5,6,0,49,1,1,46.482,-0.522,178.913,155.139
4,5,7,639,93,3,1,348.405,13.535,1164.534,1116.879
4,5,8,768,118,4,1,594.407,25.352,1995.138,1920.348
4,5,9,40,275,5,1,307.615,17.982,1091.359,1045.788
4,5,10,223,371,6,2,589.659,23.566,2039.304,1962.891
4,5,11,264,398,6,2,685.889,27.73,2326.811,2239.393
4,5,12,75,389,6,2,471.545,21.776,1645.106,1582.533
4,5,13,89,368,6,2,456.774,20.311,1604.129,1542.912
4,5,14,20,249,6,3,258.268,12.95,937.564,896.209
4,5,15,457,190,6,3,488.861,18.599,1706.304,1641.677
4,5,16,567,121,5,2,360.674,16.468,1210.546,1161.556
4,5,17,37,67,3,1,70.763,5.522,256.642,231.313
4,5,18,0,0,1,0,0,1,0,0
4,5,19,0,0,0,0,0,0,0,0
4,5,20,0,0,0,0,0,0,0,0
4,5,21,0,0,0,0,0,0,0,0
4,5,22,0,0,0,0,0,0,0,0
4,5,23,0,0,0,0,0,0,0,0
4,6,0,0,0,0,0,0,0,0,0
4,6,1,0,0,0,0,0,0,0,0
4,6,2,0,0,0,0,0,0,0,0
4,6,3,0,0,0,1,0,0,0,0
4,6,4,0,0,0,1,0,0,0,0
4,6,5,0,0,0,1,0,0,0,0
4,6,6,272,66,0,2,107.287,0.858,345.105,317.938
4,6,7,669,88,2,3,356.874,10.388,1208.39,1159.463
4,6,8,838,94,3,3,612.387,19.423,2110.823,2031.745
4,6,9,917,98,4,3,824.069,27.028,2789.578,2682.833
4,6,10,638,233,5,3,840.548,29.165,2829.849,2721.328
4,6,11,452,332,6,3,807.244,29.296,2717.996,2614.371
4,6,12,98,402,7,3,507.695,22.123,1768.374,1701.629
4,6,13,593,257,7,3,827.642,29.63,2780.64,2674.288
4,6,14,874,122,7,3,832.899,30.882,2770.521,2664.611
4,6,15,0,127,6,3,121.526,10.576,445.975,416.622
4,6,16,321,136,5,2,271.261,11.825,944.635,903.091
4,6,17,85,71,4,1,83.949,6.289,293.692,267.602
4,6,18,0,0,2,1,0,2,0,0
4,6,19,0,0,1,1,0,1,0,0
4,6,20,0,0,0,1,0,0,0,0
4,6,21,0,0,0,1,0,0,0,0
4,6,22,0,0,-1,1,0,-1,0,0
4,6,23,0,0,-1,1,0,-1,0,0
4,7,0,0,0,-2,1,0,-2,0,0
4,7,1,0,0,-3,1,0,-3,0,0
4,7,2,0,0,-4,1,0,-4,0,0
4,7,3,0,0,-4,1,0,-4,0,0
4,7,4,0,0,-4,0,0,-4,0,0
4,7,5,0,0,-3,0,0,-3,0,0
4,7,6,460,52,-1,1,125.074,0.608,368.023,340.367
4,7,7,716,82,1,1,371.093,12.996,1240.131,1190.272
4,7,8,824,103,4,0,615.495,31.559,2005.286,1930.125
4,7,9,879,120,5,0,824.119,41.884,2593.973,2495.641
4,7,10,903,132,7,0,970.829,50.012,2941.361,2827.844
4,7,11,911,139,8,0,1039.495,54.043,3084.337,2964.244
4,7,12,908,138,9,1,1037.966,48.165,3178.397,3053.875
4,7,13,889,133,10,1,966.357,46.88,2977.076,2861.934
4,7,14,840,130,9,2,815.029,35.964,2644.809,2544.325
4,7,15,762,120,9,2,609.634,29.361,2013.997,1938.516
4,7,16,656,94,8,2,372.862,20.361,1220.456,1171.176
4,7,17,417,60,5,1,135.374,10.067,400.449,372.094
4,7,18,0,0,3,1,0,3,0,0
4,7,19,0,0,3,1,0,3,0,0
4,7,20,0,0,2,1,0,2,0,0
4,7,21,0,0,2,1,0,2,0,0
4,7,22,0,0,2,1,0,2,0,0
4,7,23,0,0,2,1,0,2,0,0
4,8,0,0,0,3,1,0,3,0,0
4,8,1,0,0,3,1,0,3,0,0
4,8,2,0,0,3,1,0,3,0,0
4,8,3,0,0,3,1,0,3,0,0
4,8,4,0,0,2,1,0,2,0,0
4,8,5,0,0,3,1,0,3,0,0
4,8,6,294,66,5,2,112.43,6.071,351.242,323.944
4,8,7,57,143,6,2,162.388,9.295,590.702,558.049
4,8,8,14,190,8,2,192.094,12.512,698.117,662.889
4,8,9,208,317,11,3,490.499,23.329,1695.538,1631.275
4,8,10,280,367,13,3,647.048,30.578,2164.503,2083.392
4,8,11,506,318,15,3,845.943,38.275,2725.638,2621.682
4,8,12,263,406,16,3,694.299,35.955,2263.163,2178.248
4,8,13,10,237,17,3,239.125,24.256,824.667,786.267
4,8,14,48,293,17,4,332.831,24.407,1146.343,1099.211
4,8,15,620,163,16,3,565.789,30.802,1860.711,1790.747
4,8,16,491,130,15,3,339.186,24.526,1103.217,1057.312
4,8,17,279,75,13,3,124.369,15.745,382.443,354.478
4,8,18,0,0,11,3,0,11,0,0
4,8,19,0,0,10,2,0,10,0,0
4,8,20,0,0,10,2,0,10,0,0
4,8,21,0,0,10,2,0,10,0,0
4,8,22,0,0,10,2,0,10,0,0
4,8,23,0,0,10,3,0,10,0,0
4,9,0,0,0,10,3,0,10,0,0
4,9,1,0,0,10,3,0,10,0,0
4,9,2,0,0,10,3,0,10,0,0
4,9,3,0,0,10,3,0,10,0,0
4,9,4,0,0,11,3,0,11,0,0
4,9,5,0,0,11,3,0,11,0,0
4,9,6,56,66,13,3,72.07,12.955,248.838,223.667
4,9,7,298,136,16,4,257.293,20.992,858.746,819.467
4,9,8,320,220,18,5,424.462,26.677,1429.975,1374.346
4,9,9,304,303,20,5,559.055,32.109,1852.42,1782.748
4,9,10,289,368,21,5,656.445,35.6,2142.727,2062.444
4,9,11,800,169,22,5,973.392,43.83,3048.854,2930.41
4,9,12,251,411,23,5,687.842,39.254,2205.477,2122.797
4,9,13,30,315,23,5,345.71,30.985,1154.622,1107.253
4,9,14,35,280,22,4,308.702,29.15,1039.744,995.612
4,9,15,19,202,21,3,207.218,26.014,707.811,672.345
4,9,16,42,149,20,3,163.062,23.417,558.999,527.086
4,9,17,0,14,19,2,13.25,18.006,47.033,25.77
4,9,18,0,0,17,1,0,17,0,0
4,9,19,0,0,16,1,0,16,0,0
4,9,20,0,0,15,1,0,15,0,0
4,9,21,0,0,15,1,0,15,0,0
4,9,22,0,0,14,1,0,14,0,0
4,9,23,0,0,14,1,0,14,0,0
4,10,0,0,0,14,1,0,14,0,0
4,10,1,0,0,13,1,0,13,0,0
4,10,2,0,0,12,2,0,12,0,0
4,10,3,0,0,11,2,0,11,0,0
4,10,4,0,0,9,2,0,9,0,0
4,10,5,0,0,9,2,0,9,0,0
4,10,6,38,64,9,2,67.343,8.665,240.299,215.302
4,10,7,511,104,10,3,317.017,17.082,1057.166,1012.552
4,10,8,830,78,12,3,596.679,27.641,1981.133,1906.853
4,10,9,864,125,14,3,823.057,36.548,2662.226,2560.998
4,10,10,911,128,15,2,972.159,45.42,3017.698,2900.694
4,10,11,929,130,16,2,1051.215,49.114,3202.894,3077.204
4,10,12,926,130,17,2,1049.939,50.311,3178.757,3054.218
4,10,13,900,131,18,2,970.013,49.054,2954.43,2840.32
4,10,14,851,128,19,2,823.257,45.627,2543.825,2447.592
4,10,15,775,118,18,1,616.836,42.196,1912.588,1840.782
4,10,16,664,95,17,0,378.303,37.235,1143.094,1096.055
4,10,17,428,62,14,0,140.111,22.636,392.38,364.2
4,10,18,0,0,12,0,0,12,0,0
4,10,19,0,0,11,0,0,11,0,0
4,10,20,0,0,10,0,0,10,0,0
4,10,21,0,0,9,0,0,9,0,0
4,10,22,0,0,8,0,0,8,0,0
4,10,23,0,0,7,0,0,7,0,0
4,11,0,0,0,6,0,0,6,0,0
4,11,1,0,0,5,0,0,5,0,0
4,11,2,0,0,4,0,0,4,0,0
4,11,3,0,0,3,0,0,3,0,0
4,11,4,0,0,3,1,0,3,0,0
4,11,5,0,0,4,1,0,4,0,0
4,11,6,393,61,7,2,126.952,8.567,377.664,349.801
4,11,7,666,89,10,2,365.903,19.787,1195.404,1146.856
4,11,8,781,109,13,3,603.224,28.971,1993.828,1919.085
4,11,9,844,123,15,3,806.834,37.112,2602.73,2504.028
4,11,10,890,127,16,3,953.386,42.523,3004.092,2887.713
4,11,11,905,131,16,3,1029.969,44.94,3207.624,3081.709
4,11,12,903,133,17,3,1031.469,46.167,3191.896,3066.731
4,11,13,889,131,16,3,960.583,43.429,3012.965,2896.178
4,11,14,849,127,15,3,821.097,38.669,2629.108,2529.291
4,11,15,766,98,14,3,589.733,31.178,1930.509,1858.06
4,11,16,697,89,13,2,386.255,25.563,1232.822,1183.179
4,11,17,482,59,10,1,147.238,15.565,418.55,389.801
4,11,18,0,0,7,1,0,7,0,0
4,11,19,0,0,5,1,0,5,0,0
4,11,20,0,0,4,1,0,4,0,0
4,11,21,0,0,4,1,0,4,0,0
4,11,22,0,0,3,1,0,3,0,0
4,11,23,0,0,3,1,0,3,0,0
4,12,0,0,0,4,1,0,4,0,0
4,12,1,0,0,4,1,0,4,0,0
4,12,2,0,0,5,1,0,5,0,0
4,12,3,0,0,5,1,0,5,0,0
4,12,4,0,0,5,1,0,5,0,0
4,12,5,0,0,5,1,0,5,0,0
4,12,6,0,28,7,1,26.534,4.821,99.843,77.593
4,12,7,0,72,9,1,68.399,8.723,253.058,227.802
4,12,8,4,174,12,1,169.901,16.02,608.343,575.274
4,12,9,8,211,14,2,210.195,19.154,742.123,705.809
4,12,10,11,242,16,2,244.773,22.438,851.331,812.244
4,12,11,8,212,17,2,212.838,22.623,739.65,703.397
4,12,12,8,212,17,3,212.849,21.773,742.613,706.287
4,12,13,57,358,17,3,415.194,27.315,1411.247,1356.203
4,12,14,61,309,17,3,359.087,26.516,1224.446,1175.049
4,12,15,30,218,16,2,234.435,22.83,812.403,774.317
4,12,16,0,114,15,2,108.892,17.303,387.78,359.699
4,12,17,0,7,14,1,6.621,12.132,24.13,3.286
4,12,18,0,0,13,1,0,13,0,0
4,12,19,0,0,12,1,0,12,0,0
4,12,20,0,0,11,1,0,11,0,0
4,12,21,0,0,11,1,0,11,0,0
4,12,22,0,0,11,1,0,11,0,0
4,12,23,0,0,11,1,0,11,0,0
4,13,0,0,0,11,1,0,11,0,0
4,13,1,0,0,11,1,0,11,0,0
4,13,2,0,0,11,1,0,11,0,0
4,13,3,0,0,11,1,0,11,0,0
4,13,4,0,0,11,1,0,11,0,0
4,13,5,0,0,12,1,0,12,0,0
4,13,6,0,19,14,2,17.99,12.188,65.552,43.945
4,13,7,168,158,16,2,225.811,20.923,768.063,731.1
4,13,8,102,247,19,3,308.531,26.464,1047.835,1003.479
4,13,9,824,110,20,4,780.216,38.583,2498.745,2404.379
4,13,10,239,386,21,4,620.76,37.028,2012.141,1936.728
4,13,11,62,392,21,3,460.141,33.922,1515.071,1456.747
4,13,12,200,425,20,3,641.595,37.182,2078.707,2000.832
4,13,13,208,392,20,3,599.346,36.68,1946.187,1873.174
4,13,14,77,320,19,2,383.147,31.415,1276.031,1225.106
4,13,15,78,245,19,2,291.989,27.705,986.908,944.224
4,13,16,0,118,18,2,112.735,20.752,395.183,366.942
4,13,17,0,7,16,2,6.621,14.458,23.882,3.042
4,13,18,0,0,15,2,0,15,0,0
4,13,19,0,0,15,2,0,15,0,0
4,13,20,0,0,14,2,0,14,0,0
4,13,21,0,0,14,2,0,14,0,0
4,13,22,0,0,14,2,0,14,0,0
4,13,23,0,0,14,2,0,14,0,0
4,14,0,0,0,14,1,0,14,0,0
4,14,1,0,0,14,1,0,14,0,0
4,14,2,0,0,13,0,0,13,0,0
4,14,3,0,0,13,0,0,13,0,0
4,14,4,0,0,13,0,0,13,0,0
4,14,5,0,0,13,0,0,13,0,0
4,14,6,0,44,15,1,41.756,13.668,151.149,127.917
4,14,7,109,161,17,0,204.75,24.016,692.446,657.357
4,14,8,284,238,19,0,423.254,37.081,1358.401,1304.987
4,14,9,322,310,21,0,582.309,46.81,1791.901,1724.343
4,14,10,185,395,22,1,580.797,43.508,1821.955,1753.352
4,14,11,298,408,22,1,729.835,48.249,2234.099,2150.314
4,14,12,354,396,23,2,772.244,47.069,2378.63,2289.147
4,14,13,326,370,23,2,693.847,45.036,2159.22,2078.311
4,14,14,221,332,23,2,518.055,39.704,1654.485,1591.599
4,14,15,232,249,23,3,397.772,33.904,1298.806,1247.2
4,14,16,101,164,22,3,204.957,27.284,683.846,648.966
4,14,17,0,69,20,3,65.294,20.697,228.941,204.172
4,14,18,0,0,18,2,0,18,0,0
4,14,19,0,0,16,2,0,16,0,0
4,14,20,0,0,15,3,0,15,0,0
4,14,21,0,0,15,3,0,15,0,0
4,14,22,0,0,15,3,0,15,0,0
4,14,23,0,0,15,2,0,15,0,0
4,15,0,0,0,15,2,0,15,0,0
4,15,1,0,0,15,2,0,15,0,0
4,15,2,0,0,16,2,0,16,0,0
4,15,3,0,0,15,1,0,15,0,0
4,15,4,0,0,15,1,0,15,0,0
4,15,5,0,0,15,1,0,15,0,0
4,15,6,0,11,16,2,10.408,14.006,37.619,16.528
4,15,7,574,106,18,2,351.606,26.794,1123.573,1077.09
4,15,8,475,196,20,2,505.893,34.945,1634.619,1572.394
4,15,9,804,124,22,3,782.074,42.942,2450.578,2358.186
4,15,10,132,395,24,3,532.016,39.319,1705.027,1640.443
4,15,11,879,124,25,3,1001.057,51.499,3011.637,2894.911
4,15,12,879,125,25,3,1002.468,52.957,2992.288,2876.45
4,15,13,843,132,26,3,927.828,52.061,2781.145,2674.77
4,15,14,99,331,26,2,411.801,40.553,1310.526,1258.567
4,15,15,728,116,25,2,586.979,42.487,1818.448,1749.967
4,15,16,84,164,24,1,194.926,32.575,635.57,601.855
4,15,17,367,63,21,1,130.017,24.64,367.373,339.731
4,15,18,0,0,19,1,0,19,0,0
4,15,19,0,0,19,1,0,19,0,0
4,15,20,0,0,18,1,0,18,0,0
4,15,21,0,0,18,1,0,18,0,0
4,15,22,0,0,17,1,0,17,0,0
4,15,23,0,0,17,1,0,17,0,0
4,16,0,0,0,16,1,0,16,0,0
4,16,1,0,0,16,1,0,16,0,0
4,16,2,0,0,16,1,0,16,0,0
4,16,3,0,0,16,1,0,16,0,0
4,16,4,0,0,16,1,0,16,0,0
4,16,5,0,0,17,1,0,17,0,0
4,16,6,345,71,18,1,133.233,20.27,391.102,362.95
4,16,7,526,118,20,1,342.697,30.827,1079.056,1033.83
4,16,8,654,142,22,1,567.041,41.697,1765.96,1699.297
4,16,9,739,152,26,1,763.116,53.011,2268.323,2183.207
4,16,10,741,185,28,1,893.938,59.846,2567.4,2470.183
4,16,11,765,189,29,1,965.619,63.509,2717.764,2614.149
4,16,12,767,190,30,1,968.728,64.851,2705.515,2602.429
4,16,13,737,192,30,2,898.03,58.113,2604.305,2505.537
4,16,14,183,339,30,2,494.599,46.728,1523.943,1465.334
4,16,15,613,166,29,1,566.257,49.33,1696.803,1632.497
4,16,16,561,114,28,1,356.283,41.906,1060.431,1015.725
4,16,17,366,72,25,1,138.688,30.127,387.229,359.16
4,16,18,20,7,22,1,6.101,20.642,21.396,0.602
4,16,19,0,0,20,1,0,20,0,0
4,16,20,0,0,19,1,0,19,0,0
4,16,21,0,0,19,1,0,19,0,0
4,16,22,0,0,18,1,0,18,0,0
4,16,23,0,0,17,1,0,17,0,0
4,17,0,0,0,16,1,0,16,0,0
4,17,1,0,0,16,1,0,16,0,0
4,17,2,0,0,15,0,0,15,0,0
4,17,3,0,0,15,0,0,15,0,0
4,17,4,0,0,15,0,0,15,0,0
4,17,5,19,7,16,0,6.1,11.966,22.25,1.44
4,17,6,363,72,19,0,138.469,22.236,401.867,373.481
4,17,7,544,118,22,0,351.46,36.533,1076.177,1031.032
4,17,8,667,144,26,0,578.526,50.888,1717.639,1652.628
4,17,9,740,159,29,1,772.455,56.218,2256.474,2171.819
4,17,10,760,181,31,1,908.017,63.118,2559.909,2463.005
4,17,11,780,186,32,1,977.946,66.714,2701.842,2598.914
4,17,12,789,182,33,1,982.605,68.086,2692.941,2590.397
4,17,13,790,166,33,1,915.655,66.168,2536.301,2440.381
4,17,14,763,150,32,2,781.011,56.675,2275.518,2190.12
4,17,15,704,131,31,1,588.11,53.449,1721.003,1655.878
4,17,16,601,106,29,1,365.395,43.324,1076.845,1031.682
4,17,17,410,68,26,1,143.325,31.37,391.079,362.928
4,17,18,38,9,23,1,7.807,21.783,27.237,6.336
4,17,19,0,0,22,1,0,22,0,0
4,17,20,0,0,21,1,0,21,0,0
4,17,21,0,0,20,1,0,20,0,0
4,17,22,0,0,20,1,0,20,0,0
4,17,23,0,0,19,1,0,19,0,0
4,18,0,0,0,19,1,0,19,0,0
4,18,1,0,0,18,1,0,18,0,0
4,18,2,0,0,18,1,0,18,0,0
4,18,3,0,0,18,1,0,18,0,0
4,18,4,0,0,18,1,0,18,0,0
4,18,5,0,10,19,1,9.465,16.667,33.803,12.783
4,18,6,136,81,21,1,103.322,22.307,329.579,302.739
4,18,7,542,119,23,0,352.826,37.238,1077.656,1032.47
4,18,8,596,158,25,0,549.102,48.89,1649.633,1586.91
4,18,9,193,341,27,0,504.656,50.753,1522.155,1463.603
4,18,10,527,298,28,0,812.737,61.857,2308.215,2221.532
4,18,11,761,191,29,0,970.262,69.646,2634.685,2534.631
4,18,12,589,281,29,1,894.102,61.761,2541.772,2445.624
4,18,13,309,381,29,2,689.156,51.178,2076.357,1998.569
4,18,14,477,263,29,2,665.833,49.742,2016.388,1940.819
4,18,15,375,227,28,1,470.266,46.195,1438.686,1382.785
4,18,16,17,148,27,1,148.742,33.248,489.279,458.959
4,18,17,41,80,24,1,83.564,25.692,277.348,251.595
4,18,18,0,4,22,1,3.78,20.145,13.289,0
4,18,19,0,0,20,1,0,20,0,0
4,18,20,0,0,20,1,0,20,0,0
4,18,21,0,0,19,1,0,19,0,0
4,18,22,0,0,18,1,0,18,0,0
4,18,23,0,0,18,1,0,18,0,0
4,19,0,0,0,17,0,0,17,0,0
4,19,1,0,0,17,0,0,17,0,0
4,19,2,0,0,17,0,0,17,0,0
4,19,3,0,0,17,0,0,17,0,0
4,19,4,0,0,17,1,0,17,0,0
4,19,5,5,5,17,1,4.78,14.371,17.249,0
4,19,6,168,81,19,1,110.465,20.469,350.379,323.099
4,19,7,484,139,21,1,349.226,31.912,1101.994,1056.123
4,19,8,625,162,24,2,572.572,40.826,1793.756,1726.134
4,19,9,599,221,25,2,724.826,47.049,2225.717,2142.256
4,19,10,290,388,26,2,679.387,47.342,2089.073,2010.81
4,19,11,655,261,26,2,939.538,54.363,2783.211,2676.746
4,19,12,666,255,26,2,943.841,55.444,2779.479,2673.177
4,19,13,697,217,26,2,887.991,53.944,2635.089,2535.018
4,19,14,521,248,27,2,685.736,49.124,2083.16,2005.118
4,19,15,56,245,26,1,277.191,37.981,891.967,851.82
4,19,16,0,79,25,1,75.081,27.301,255.247,229.946
4,19,17,0,75,23,1,70.834,23.654,244.982,219.889
4,19,18,0,5,21,1,4.727,19.041,16.699,0
4,19,19,0,0,20,1,0,20,0,0
4,19,20,0,0,19,1,0,19,0,0
4,19,21,0,0,19,1,0,19,0,0
4,19,22,0,0,18,1,0,18,0,0
4,19,23,0,0,18,1,0,18,0,0
4,20,0,0,0,18,1,0,18,0,0
4,20,1,0,0,17,0,0,17,0,0
4,20,2,0,0,17,0,0,17,0,0
4,20,3,0,0,17,0,0,17,0,0
4,20,4,0,0,16,0,0,16,0,0
4,20,5,0,10,17,1,9.464,14.555,34.123,13.097
4,20,6,183,82,18,1,114.737,19.635,363.479,335.921
4,20,7,28,157,19,1,164.264,23.274,565.582,533.516
4,20,8,0,152,21,0,145.542,27.022,495.445,464.986
4,20,9,11,229,22,0,230.067,31.584,766.084,729.171
4,20,10,145,407,23,0,555.903,46.227,1719.6,1654.522
4,20,11,112,433,24,0,551.525,49.595,1676.34,1612.724
4,20,12,134,437,23,0,587.797,49.899,1783.7,1716.426
4,20,13,222,403,22,0,622.371,50.424,1882.865,1812.118
4,20,14,139,345,22,0,464.662,45.163,1443.891,1387.825
4,20,15,10,195,21,0,193.887,32.625,642.002,608.133
4,20,16,0,28,20,0,26.547,21.049,92.931,70.812
4,20,17,0,5,18,1,4.729,15.583,16.972,0
4,20,18,0,5,16,1,4.727,13.324,17.136,0
4,20,19,0,0,15,2,0,15,0,0
4,20,20,0,0,14,1,0,14,0,0
4,20,21,0,0,12,0,0,12,0,0
4,20,22,0,0,11,0,0,11,0,0
4,20,23,0,0,11,1,0,11,0,0
4,21,0,0,0,10,1,0,10,0,0
4,21,1,0,0,9,1,0,9,0,0
4,21,2,0,0,9,1,0,9,0,0
4,21,3,0,0,9,1,0,9,0,0
4,21,4,0,0,9,1,0,9,0,0
4,21,5,0,3,9,1,2.835,6.01,10.611,0
4,21,6,0,9,10,2,8.515,7.788,31.633,10.652
4,21,7,156,175,11,2,239.679,16.258,837.378,798.651
4,21,8,15,208,12,2,209.878,17.476,746.089,709.676
4,21,9,161,348,14,1,486.128,30.375,1626.471,1564.517
4,21,10,39,347,15,1,385.267,29.644,1295.093,1243.598
4,21,11,22,326,16,0,340.054,32.662,1126.607,1080.039
4,21,12,36,367,16,0,406.446,34.831,1332.319,1279.7
4,21,13,37,343,15,0,379.069,33.449,1250.958,1200.78
4,21,14,0,127,12,1,121.342,16.561,433.567,404.488
4,21,15,12,201,10,1,200.986,15.591,720.687,684.904
4,21,16,0,35,9,1,33.195,8.784,122.779,100.093
4,21,17,0,6,9,1,5.675,6.334,21.216,0.425
4,21,18,0,0,8,1,0,8,0,0
4,21,19,0,0,8,1,0,8,0,0
4,21,20,0,0,8,1,0,8,0,0
4,21,21,0,0,7,1,0,7,0,0
4,21,22,0,0,7,1,0,7,0,0
4,21,23,0,0,7,1,0,7,0,0
4,22,0,0,0,7,1,0,7,0,0
4,22,1,0,0,7,1,0,7,0,0
4,22,2,0,0,7,2,0,7,0,0
4,22,3,0,0,7,1,0,7,0,0
4,22,4,0,0,7,1,0,7,0,0
4,22,5,0,2,7,1,1.889,3.863,7.138,0
4,22,6,0,19,8,2,17.991,6.045,67.34,45.7
4,22,7,0,100,9,2,95.187,9.661,350.722,323.435
4,22,8,0,85,11,2,80.839,11.634,295.28,269.157
4,22,9,11,230,12,1,230.97,18.404,818.259,780.024
4,22,10,16,280,13,1,286.774,22.514,997.064,954.104
4,22,11,71,415,13,1,491.469,30.08,1648.738,1586.044
4,22,12,18,306,13,2,315.902,22.971,1096.038,1050.336
4,22,13,643,285,14,3,907.035,37.798,2928.249,2815.325
4,22,14,155,370,14,3,502.936,29.168,1692.568,1628.405
4,22,15,269,256,15,3,432.565,26.834,1460.964,1404.362
4,22,16,271,165,14,3,280.031,21.425,943.566,902.051
4,22,17,0,15,13,2,14.199,12.486,51.668,30.319
4,22,18,0,1,11,2,0.944,8.632,3.495,0
4,22,19,0,0,9,3,0,9,0,0
4,22,20,0,0,8,3,0,8,0,0
4,22,21,0,0,7,3,0,7,0,0
4,22,22,0,0,5,3,0,5,0,0
4,22,23,0,0,4,3,0,4,0,0
4,23,0,0,0,4,2,0,4,0,0
4,23,1,0,0,3,2,0,3,0,0
4,23,2,0,0,2,2,0,2,0,0
4,23,3,0,0,2,2,0,2,0,0
4,23,4,0,0,2,2,0,2,0,0
4,23,5,0,12,2,2,11.361,-0.279,43.684,22.482
4,23,6,527,69,4,3,175.528,6.843,530.941,499.675
4,23,7,745,90,6,3,419.7,16.372,1406.078,1351.194
4,23,8,376,236,8,3,483.423,21.015,1675.013,1611.44
4,23,9,909,110,9,3,857.663,32.259,2835.937,2727.146
4,23,10,214,409,11,3,621.645,29.241,2093.401,2014.976
4,23,11,364,401,12,3,787.131,33.765,2593.693,2495.372
4,23,12,952,117,13,3,1070.405,42.596,3374.31,3240.298
4,23,13,933,116,13,3,991.123,41.49,3140.125,3017.415
4,23,14,902,109,13,3,845.047,37.478,2722.484,2618.665
4,23,15,854,96,13,3,647.611,31.822,2114.617,2035.396
4,23,16,754,83,12,2,409.36,25.547,1307.966,1256.083
4,23,17,554,61,10,1,167.303,16.474,472.614,442.669
4,23,18,125,16,8,0,12.264,7.27,45.663,24.424
4,23,19,0,0,6,0,0,6,0,0
4,23,20,0,0,6,0,0,6,0,0
4,23,21,0,0,5,0,0,5,0,0
4,23,22,0,0,4,0,0,4,0,0
4,23,23,0,0,3,0,0,3,0,0
4,24,0,0,0,2,1,0,2,0,0
4,24,1,0,0,1,1,0,1,0,0
4,24,2,0,0,1,1,0,1,0,0
4,24,3,0,0,0,1,0,0,0,0
4,24,4,0,0,0,0,0,0,0,0
4,24,5,186,19,2,0,14.254,-2.153,55.239,33.824
4,24,6,622,57,5,1,184.566,9.082,537.337,505.924
4,24,7,817,73,8,1,435.616,22.583,1413.837,1358.712
4,24,8,900,85,11,1,672.442,35.155,2161.923,2080.911
4,24,9,944,95,12,1,871.491,43.834,2719.268,2615.588
4,24,10,940,117,14,0,1003.375,57.556,2918.952,2806.448
4,24,11,953,119,15,0,1075.436,61.506,3061.725,2942.685
4,24,12,952,118,16,0,1071.878,62.701,3030.88,2913.268
4,24,13,932,117,16,0,991.569,60.212,2841.911,2732.856
4,24,14,901,110,16,0,845.603,55.116,2484.436,2390.659
4,24,15,838,102,16,0,644.093,47.503,1943.607,1870.687
4,24,16,705,96,15,1,401.736,31.222,1253.83,1203.566
4,24,17,507,68,12,1,165.445,18.343,472.64,442.694
4,24,18,86,17,9,1,13.027,7.717,48.408,27.119
4,24,19,0,0,7,2,0,7,0,0
4,24,20,0,0,6,1,0,6,0,0
